fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
d3213cb1-9aac-4697-92be-ad1f92c7b1cf,23,19,398.0,398.0,441,7,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
a65c9c4d-12cc-4f5c-bd0f-e1a42f116a77,23,18,779.0,779.0,441,9,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
0d79700d-9e7e-49bf-8758-bfd5fe98b36d,23,24,660.0,660.0,441,15,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
f3348f5f-4421-4abe-8a3c-bf2ab0ec283e,23,32,127.0,127.0,441,15,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
1b9a4d79-a7b0-43db-8dab-736587ce872f,23,64,171.0,171.0,441,16,&,    public List<Long> getOrderedLogFileIds() {,unresolved,301.6,20,310.79999999999995,40,306.2,30.0
d505f83a-311b-44a8-ab0e-6364a4c86474,23,396,550.0,550.0,441,16,&,    public List<Long> getOrderedLogFileIds() {,unresolved,301.6,20,310.79999999999995,40,306.2,30.0
75f71c3e-49c6-4bf0-b8a0-86c868f36120,23,23,797.0,797.0,441,19,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
0732179c-0d79-4156-927d-ae087af4f795,23,78,227.0,227.0,441,19,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
c012b4c6-9fc3-457c-939b-5a80c02dc4f2,23,25,636.0,636.0,441,25,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
9e9e8999-c7cf-4572-ab43-89fe896bc917,23,63,417.0,417.0,441,26,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
b51cd4c8-d37f-47e8-884d-2c6420be6d0e,23,427,281.0,281.0,441,26,gt;,    public List<Long> getOrderedLogFileIds() {,matched,274.0,20,283.2,40,278.6,30.0
d1f8db58-7402-410a-b606-e2255076f2a8,23,79,346.0,346.0,441,28,WHITESPACE,    public List<Long> getOrderedLogFileIds() {,approx_whitespace,503.99999999999994,20,513.2,40,508.6,30.0
dc12eb77-1911-48d4-a2f7-58d50e8a500f,23,412,403.0,403.0,441,29,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
d2beb17c-2e48-4be9-9361-0043d9393d3d,23,414,331.0,331.0,441,31,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
18fb61e3-c247-4242-b4b2-eeb995f2cec5,23,41,131.0,131.0,441,32,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
e58a201e-dc4c-445a-be02-97ab1bf76ef4,23,14,146.0,146.0,441,33,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
c9689e85-47dc-4c93-b090-c3e316688309,23,17,129.0,129.0,441,33,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
c555b004-9f8b-4cde-9e0c-b008d13a627c,23,71,194.0,194.0,441,36,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
bb718870-4d58-47ac-afe3-3ce5fabe8ca9,23,413,212.0,212.0,441,36,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
f4875019-5bf0-4869-80d9-7e6c82bbd120,23,80,390.0,390.0,441,38,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
447756c3-aea3-4229-bd97-cf6fd618dff5,23,31,1392.0,1392.0,441,43,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
b2cccd99-23d2-4907-9661-13deee0de341,23,22,166.0,166.0,442,9,File,        File fileLogDir = new File(logDir);,matched,163.6,40,200.39999999999998,60,182.0,50.0
21d5f574-df22-4890-857d-3cdf0e0e5f3f,23,69,838.0,838.0,442,13,WHITESPACE,        File fileLogDir = new File(logDir);,approx_whitespace,476.4,40,485.59999999999997,60,481.0,50.0
6e66828a-7177-4fe3-9bd9-d822db2abde4,23,83,110.0,110.0,442,13,WHITESPACE,        File fileLogDir = new File(logDir);,approx_whitespace,476.4,40,485.59999999999997,60,481.0,50.0
