fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
9d484803-f315-4af8-83fb-f836bcb30574,15,24,611.0,611.0,190,15,static,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,200.39999999999998,20,255.6,40,228.0,30.0
0f8d86cd-be70-4179-951d-245e9272c4b0,15,10,181.0,181.0,190,21,boolean,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,264.79999999999995,20,329.2,40,297.0,30.0
37838490-243f-4eb4-ab97-723f1febab55,15,12,500.0,500.0,190,22,boolean,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,264.79999999999995,20,329.2,40,297.0,30.0
cfbd2d53-6a13-4b77-bc1e-919bf845d095,15,13,341.0,341.0,190,22,boolean,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,264.79999999999995,20,329.2,40,297.0,30.0
5d2308b6-70ed-4537-8463-2faa580312e0,15,68,284.0,284.0,190,23,boolean,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,264.79999999999995,20,329.2,40,297.0,30.0
b4bf7d39-35ca-4562-b24a-879e6385a49c,15,69,391.0,391.0,190,36,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
859c7555-5fc3-47a5-991c-325392bc0f94,15,11,1121.0,1121.0,190,37,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
963af314-dca3-4253-8d7c-3e39140d45b1,15,25,776.0,776.0,190,39,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
6202d05e-3220-43ec-8ac3-cbb9892b6276,15,2,133.0,133.0,190,41,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
e2efa6c8-a994-4b40-a44e-d535f9adca3c,15,14,479.0,479.0,190,41,resolveGenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,338.4,20,494.79999999999995,40,416.59999999999997,30.0
abfbfb9d-9f64-4878-9a4c-3b5e919abca3,15,15,487.0,487.0,190,53,GenericRef,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,402.79999999999995,20,494.79999999999995,40,448.79999999999995,30.0
d9679600-349f-4c89-a5d9-f95f46156c59,15,20,1338.0,1338.0,190,64,Class,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,651.1999999999999,20,697.1999999999999,40,674.1999999999999,30.0
9406f718-59a8-4918-b293-df904d4d2331,15,16,301.0,301.0,190,69,lt;,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,697.1999999999999,20,706.4,40,701.8,30.0
b9e75c13-d720-4417-a1ae-d10a0dc2421b,15,19,413.0,413.0,190,72,?&,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",unresolved,485.59999999999997,20,503.99999999999994,40,494.79999999999995,30.0
b0f6d3f8-33f3-4a30-b133-8f677358b27f,15,17,1675.0,1675.0,190,74,gt;,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,715.5999999999999,20,724.8,40,720.1999999999999,30.0
d081991f-a8a7-4ec4-aae6-8ce3b27c17e0,15,21,798.0,798.0,190,74,gt;,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,715.5999999999999,20,724.8,40,720.1999999999999,30.0
bcab4008-3d71-4cd9-992a-e5b6f0b5bfa1,15,22,336.0,336.0,190,81,clazz,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",matched,734.0,20,780.0,40,757.0,30.0
2b180b1c-1c11-4667-90e1-48ebebc4b439,15,18,186.0,186.0,190,83,WHITESPACE,"    private static boolean resolveGenericRef(GenericRef ref, Class<?> clazz, Type type)",approx_whitespace,881.1999999999999,20,890.4,40,885.8,30.0
b3ae7f43-b836-469f-8014-346c1b906241,15,54,233.0,233.0,192,16,type,        if (type instanceof Class),matched,200.39999999999998,60,237.2,80,218.79999999999998,70.0
8f655314-09f8-4636-ba6e-1efd93b7682f,15,23,1037.0,1037.0,192,18,instanceof,        if (type instanceof Class),matched,246.39999999999998,60,338.4,80,292.4,70.0
e691970e-36c2-4442-b979-4552ec2e9951,15,96,673.0,673.0,192,31,Class,        if (type instanceof Class),matched,347.59999999999997,60,393.59999999999997,80,370.59999999999997,70.0
ffff7fd0-b39b-4690-8a48-d336c1e7bc3d,15,80,28779.0,5000.0,194,17,type,            if (type == ref.ifaceClass),matched,237.2,100,274.0,120,255.6,110.0
2e553e7f-ddbc-4d77-9f72-ac06e29c6c8c,15,27,203.0,203.0,194,19,type,            if (type == ref.ifaceClass),matched,237.2,100,274.0,120,255.6,110.0
992a8237-819b-442a-b6f3-37f8dd8435fa,15,8,164.0,164.0,194,20,type,            if (type == ref.ifaceClass),matched,237.2,100,274.0,120,255.6,110.0
57967a08-f5e1-4139-a0dc-716bf75e8946,15,56,151.0,151.0,194,20,type,            if (type == ref.ifaceClass),matched,237.2,100,274.0,120,255.6,110.0
cff0d747-c960-4be9-9f13-a8867d4aee10,15,32,771.0,771.0,194,22,==,            if (type == ref.ifaceClass),matched,283.2,100,301.6,120,292.4,110.0
