fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
c9ee5567-b0ff-4c51-a2a8-b88c3d6525ca,15,55,1343.0,1343.0,441,28,WHITESPACE,    public List<Long> getOrderedLogFileIds() {,approx_whitespace,503.99999999999994,20,513.2,40,508.6,30.0
2ff5eb50-658b-463e-91f5-202e873cb19d,15,1,1119.0,1119.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
6ad7447d-e163-4348-ba3d-1bb7b3d5d8f1,15,56,1237.0,1237.0,441,39,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
c49aa753-011c-4136-9b93-34135cf92e0d,15,28,380.0,380.0,442,35,(,        File fileLogDir = new File(logDir);,matched,402.79999999999995,40,412.0,60,407.4,50.0
6644020f-ada6-4860-9f5c-c3162485ccf9,15,2,503.0,503.0,443,16,String[],        String[] logFileNames = null;,matched,163.6,60,237.2,80,200.39999999999998,70.0
2ebd87fe-dfe0-4d11-ac9c-7eb28d2556fc,15,3,1298.0,1298.0,444,16,lt;Long,        List<Long> logFileIds = null;,matched,200.39999999999998,80,246.39999999999998,100,223.39999999999998,90.0
b82425c5-499f-4126-a8dc-732023a27062,15,19,1403.0,1403.0,445,22,!fileLogDir,        if (!fileLogDir.exists()) {,matched,200.39999999999998,100,301.6,120,251.0,110.0
ec4c1266-e332-4588-91f8-3df40da2e8c2,15,27,572.0,572.0,445,23,!fileLogDir,        if (!fileLogDir.exists()) {,matched,200.39999999999998,100,301.6,120,251.0,110.0
25830a33-1bfc-4d75-995d-2887579b52be,15,30,286.0,286.0,445,30,exists,        if (!fileLogDir.exists()) {,matched,310.79999999999995,100,366.0,120,338.4,110.0
d49d452b-8e58-43ff-a0a2-92027256df08,15,20,826.0,826.0,446,25,Level,"            LOGGER.log(Level.INFO, ""log dir "" + logDir + "" doesn't exist.  returning empty list"");",matched,301.6,120,347.59999999999997,140,324.6,130.0
0e36d4d2-2047-4f36-b27d-00587fb1776e,15,31,573.0,573.0,449,19,!fileLogDir,        if (!fileLogDir.isDirectory()) {,matched,200.39999999999998,180,301.6,200,251.0,190.0
1badd401-d19f-4df9-b188-70c1cdbef3b3,15,21,132.0,132.0,449,21,!fileLogDir,        if (!fileLogDir.isDirectory()) {,matched,200.39999999999998,180,301.6,200,251.0,190.0
c3746722-0136-4af9-a686-8f6f53906664,15,32,594.0,594.0,449,30,isDirectory,        if (!fileLogDir.isDirectory()) {,matched,310.79999999999995,180,412.0,200,361.4,190.0
adcd75c5-abee-4d15-99bb-579d69b44b03,15,4,696.0,696.0,449,32,isDirectory,        if (!fileLogDir.isDirectory()) {,matched,310.79999999999995,180,412.0,200,361.4,190.0
f371475d-d0fd-4b5d-8805-8c26d6721351,15,22,248.0,248.0,449,33,isDirectory,        if (!fileLogDir.isDirectory()) {,matched,310.79999999999995,180,412.0,200,361.4,190.0
a11c4c24-0274-41e8-ab4f-ef4ac9a6bad1,15,33,92.0,92.0,450,23,IllegalStateException,"            throw new IllegalStateException(""log dir "" + logDir + "" exists but it is not a directory"");",matched,292.4,200,485.59999999999997,220,389.0,210.0
