experiment,n_fixations,dwell_time_ms,regressions,top_line,top_token
26,216,121686.0,51,53,TexlipseProperties (line 53)
11,174,121255.0,52,30,String (line 30)
27,187,113780.0,56,30,getWindowsProgramName (line 30)
20,132,90453.0,49,46,TexlipseProperties (line 53)
23,135,81927.0,42,53,TexlipseProperties (line 53)
9,183,77414.0,43,53,TexlipseProperties (line 53)
19,118,77226.0,37,52,getOutputFormat (line 52)
16,142,75338.0,37,46,XelatexRunner (line 26)
4,227,73790.0,58,46,TexlipseProperties (line 53)
14,89,70892.0,24,46,getDefaultArguments (line 46)
17,88,60266.0,27,46,XelatexRunner (line 26)
24,140,59903.0,51,43,super (line 27)
8,76,59124.0,19,38,WHITESPACE (line 37)
5,117,56876.0,38,31,WHITESPACE (line 31)
13,117,53885.0,43,21,} (line 47)
3,124,51122.0,37,53,TexlipseProperties (line 53)
2,124,51122.0,37,53,TexlipseProperties (line 53)
18,79,49574.0,26,43,Enable (line 43)
22,93,48332.0,28,34,return (line 31)
7,69,40529.0,22,43,Enable (line 43)
25,109,35994.0,30,30,getWindowsProgramName (line 30)
10,98,34633.0,31,53,TexlipseProperties (line 53)
15,49,32994.0,11,46,getDefaultArguments (line 46)
6,47,23751.0,15,34,getUnixProgramName (line 34)
12,64,22650.0,23,26,WHITESPACE (line 26)
1,16,5436.0,5,38,getDescription (line 38)
