fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
22321183-3883-4941-a642-0987c9c80072,16,1,352.0,352.0,21,14,WHITESPACE, public class XelatexRunner extends LatexRunner {,approx_whitespace,531.5999999999999,20,540.8,40,536.1999999999999,30.0
80a0032f-7b9b-4737-a90f-f6655bcd8830,16,2,285.0,285.0,21,14,WHITESPACE, public class XelatexRunner extends LatexRunner {,approx_whitespace,531.5999999999999,20,540.8,40,536.1999999999999,30.0
21c3e91f-603f-4b7b-982c-c2ddac0f44c8,16,135,765.0,765.0,21,14,WHITESPACE, public class XelatexRunner extends LatexRunner {,approx_whitespace,531.5999999999999,20,540.8,40,536.1999999999999,30.0
0fe147cf-59f9-4920-8acc-560603301639,16,46,199.0,199.0,21,16,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
51628c4f-3848-42dc-999b-3506f6e56085,16,47,620.0,620.0,21,16,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
79ff1004-4a70-45be-920b-feff61884c0a,16,3,1050.0,1050.0,21,19,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
ed4fedf7-e9f0-4666-81fb-f4b9d77854d6,16,67,1402.0,1402.0,21,19,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
85844c7d-2176-4b38-b18c-7346ee8ed14f,16,144,427.0,427.0,21,21,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
7215e8a8-3cc6-4f40-8b70-170608d50725,16,19,91.0,91.0,21,23,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
10bee50d-1602-44b8-b1ea-5ad3b3530d9b,16,50,360.0,360.0,21,25,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
717a9676-060f-4d76-9c96-879dd97be23f,16,145,94.0,94.0,21,32,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
fbfe8ff4-6653-453e-9ab4-7d203bf32579,16,4,285.0,285.0,21,35,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
940e4c85-7d35-4425-945d-915ffb82c32a,16,125,251.0,251.0,21,37,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
2b621038-631a-465e-ab61-457a9438130c,16,51,504.0,504.0,21,40,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
6ce511c4-a039-4fec-8a4c-572c409dac7c,16,5,575.0,575.0,21,41,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
1dd7d11f-7c5b-461c-a383-24445c43b043,16,7,734.0,734.0,21,41,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
8c210024-5a7f-4a0f-a002-ff2784ab8e2a,16,66,342.0,342.0,21,41,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
664bf782-6c23-4e42-973d-535840ed76ec,16,143,333.0,333.0,21,43,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,421.2,20,522.4,40,471.79999999999995,30.0
