fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
0a10d2e4-658f-4239-8537-2612b0c8e62b,10,25,501.0,501.0,441,4,WHITESPACE,    public List<Long> getOrderedLogFileIds() {,approx_whitespace,503.99999999999994,20,513.2,40,508.6,30.0
b44417ec-cf67-41e9-8c40-a7b84fcbb3cf,10,2,173.0,173.0,441,5,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
37c8d5fe-590e-4872-9540-e8ff01bcc44d,10,24,197.0,197.0,441,9,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
78524510-0bd6-4f82-95b4-9fda9684e493,10,36,401.0,401.0,441,10,public,    public List<Long> getOrderedLogFileIds() {,matched,126.8,20,182.0,40,154.4,30.0
0686c13e-97d7-456b-bf1a-23fe75c198b4,10,334,277.0,277.0,441,12,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
685f85ba-e307-4d46-a724-2acd34b52773,10,10,274.0,274.0,441,13,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
c08c04b0-ae76-4f22-8ae5-03eed6727a3e,10,27,1253.0,1253.0,441,13,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
95af54e8-1e58-448e-af1e-b32c5e58c90c,10,28,801.0,801.0,441,14,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
6f1b6b28-2ebe-4d0b-a1f3-2b8574761dba,10,41,127.0,127.0,441,14,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
bc44f2af-e5c7-4601-9f5a-20d677551b6f,10,31,336.0,336.0,441,15,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
db19b5a9-f38e-4d32-ba16-fc622711a294,10,35,432.0,432.0,441,15,List,    public List<Long> getOrderedLogFileIds() {,matched,191.2,20,228.0,40,209.6,30.0
eae981d2-32ed-414c-ad1b-dda090821479,10,20,437.0,437.0,441,16,&,    public List<Long> getOrderedLogFileIds() {,unresolved,301.6,20,310.79999999999995,40,306.2,30.0
f078c4d5-d4d6-4cd2-a55f-3c86c52e7d14,10,44,377.0,377.0,441,16,&,    public List<Long> getOrderedLogFileIds() {,unresolved,301.6,20,310.79999999999995,40,306.2,30.0
9f8a2dda-24db-47a1-ab0e-c804d3d49088,10,37,180.0,180.0,441,18,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
8af33b2d-1430-4196-9889-b70cbc380828,10,40,430.0,430.0,441,18,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
12753af0-cd11-4df1-948e-ff8f9069855f,10,336,123.0,123.0,441,18,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
50f8be95-f3dd-4cb7-bc87-89372316c608,10,193,1082.0,1082.0,441,21,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
0154ba24-fd35-4099-a5a8-9c42f2de80a8,10,30,305.0,305.0,441,23,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
ab2504e3-2890-48ed-9304-82fca7616782,10,332,227.0,227.0,441,23,lt;Long,    public List<Long> getOrderedLogFileIds() {,matched,228.0,20,274.0,40,251.0,30.0
616523d5-af56-4ef6-b7f1-a3d9a1f034bc,10,322,193.0,193.0,441,30,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
b90fc28f-dd7b-4c8f-87d1-e776fa3640d0,10,43,2117.0,2117.0,441,31,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
41e0333f-61d4-4654-a1a3-a210095e9199,10,211,702.0,702.0,441,33,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
615e85f0-5ac5-478a-a881-fd766c586f9f,10,66,130.0,130.0,441,35,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
f179afdb-f74d-46d3-acbd-f7fb832c1aa3,10,33,305.0,305.0,441,37,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
c4f47ba2-c518-43eb-96e5-3f217e8cc45d,10,49,326.0,326.0,441,38,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
db950bc3-c172-4215-94d7-cfdd3e82d763,10,42,337.0,337.0,441,40,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
815844bb-259f-4786-9ddd-668c051b8b66,10,335,384.0,384.0,441,42,getOrderedLogFileIds,    public List<Long> getOrderedLogFileIds() {,matched,292.4,20,476.4,40,384.4,30.0
