fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
dde443bb-ecf7-4432-982f-bf4960449b67,11,75,361.0,361.0,21,7,public, public class XelatexRunner extends LatexRunner {,matched,99.2,20,154.39999999999998,40,126.79999999999998,30.0
34df20f1-5f96-4f6c-b060-4c1da864063a,11,36,745.0,745.0,21,13,class, public class XelatexRunner extends LatexRunner {,matched,163.6,20,209.6,40,186.6,30.0
d9ed5050-ec80-4f20-a1da-06054971eef0,11,68,231.0,231.0,21,14,WHITESPACE, public class XelatexRunner extends LatexRunner {,approx_whitespace,531.5999999999999,20,540.8,40,536.1999999999999,30.0
0f63860e-07fd-4d15-ba75-d607863a7ec0,11,16,360.0,360.0,21,15,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
7753b1f1-769e-4b77-b2e6-d37fd9ddd968,11,71,604.0,604.0,21,18,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
2aed7d59-6474-40fd-9d70-48c70bee2534,11,74,433.0,433.0,21,20,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
62f7c3af-c736-4f73-aa35-264497e2aa5b,11,15,2072.0,2072.0,21,21,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
ae082ad5-4253-486a-8aa8-734c682a5381,11,198,253.0,253.0,21,22,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
fb2048f1-0d65-46a5-a676-4d0eb407d64e,11,120,124.0,124.0,21,24,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
01d3378e-5950-4054-92a4-99717eb5e937,11,172,186.0,186.0,21,27,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
6920392a-61a4-4ade-9617-a3117a3c9d95,11,121,97.0,97.0,21,29,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
2efdb25b-c36f-4d5a-8cdc-5962c7c8dc46,11,69,379.0,379.0,21,31,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
241c151d-bba8-4975-8f0c-6d5224515ed9,11,72,160.0,160.0,21,31,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
a8a59acb-b92c-494c-acd2-15568f71cfe6,11,76,502.0,502.0,21,32,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
3ccd497f-a699-4b7e-bf03-c180a5f2619a,11,73,146.0,146.0,21,40,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
01e7388a-c0bc-4e1a-83dd-13190319d7e8,11,70,1010.0,1010.0,21,43,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,421.2,20,522.4,40,471.79999999999995,30.0
17c4a473-d13d-42dc-9cdc-444dea645fb7,11,182,530.0,530.0,24,8,Create,     * Create a new ProgramRunner.,matched,154.39999999999998,80,209.6,100,182.0,90.0
