fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
d0c52fa8-6402-4f2d-b093-ce25a91344c8,23,30,151.0,151.0,21,5,public, public class XelatexRunner extends LatexRunner {,matched,99.2,20,154.39999999999998,40,126.79999999999998,30.0
21119658-ef32-4185-991c-93e8f44be95d,23,104,377.0,377.0,21,11,class, public class XelatexRunner extends LatexRunner {,matched,163.6,20,209.6,40,186.6,30.0
9f9ee672-152a-4935-b607-5d1aab7ca4e7,23,54,294.0,294.0,21,17,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
21b21ad8-b393-4067-9888-c662636cc8a2,23,33,844.0,844.0,21,18,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
ebb52d70-9812-4774-b4d1-743b2949dee5,23,36,236.0,236.0,21,18,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
4de4f0d0-dc6c-4dc6-b0b3-b384c4c5feef,23,103,120.0,120.0,21,18,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
37fb96aa-d71a-4376-bf80-d3706b892ca4,23,31,2640.0,2640.0,21,19,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
da912c4f-fd7a-4a35-89e4-af544c530e95,23,37,627.0,627.0,21,19,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
7650686f-10a9-4f74-9d95-bb0fb742db49,23,101,126.0,126.0,21,20,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
84f4319c-8e78-4204-8fe2-5a0b47b834ff,23,35,1926.0,1926.0,21,22,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
