experiment,n_fixations,dwell_time_ms,regressions,top_line,top_token
19,508,332921.0,186,210,ParameterizedType (line 210)
25,792,291627.0,190,194,ifaceClass (line 194)
24,514,253007.0,160,203,ParameterizedType (line 210)
12,507,247985.0,160,198,setGenericFromType (line 198)
10,249,217323.0,66,190,instanceof (line 192)
9,381,192304.0,96,190,instanceof (line 192)
16,409,192094.0,107,190,ParameterizedType (line 210)
27,334,186461.0,109,190,return (line 222)
5,406,178543.0,112,190,resolveGenericRef (line 190)
11,300,169234.0,84,198,setGenericFromType (line 198)
20,280,167719.0,92,225,return (line 225)
23,265,150112.0,89,190,WHITESPACE (line 214)
22,228,142958.0,62,204,resolveGenericRef (line 204)
14,167,117222.0,48,212,ifaceClass (line 212)
2,282,115345.0,102,212,rawType (line 212)
3,282,115345.0,102,212,rawType (line 212)
7,207,114946.0,58,192,Class (line 192)
4,279,114646.0,80,204,WHITESPACE (line 204)
17,186,103520.0,58,199,WHITESPACE (line 199)
8,227,97868.0,55,190,} (line 224)
6,165,97163.0,54,208,WHITESPACE (line 201)
26,179,93154.0,41,198,setGenericFromType (line 198)
18,157,74186.0,48,190,resolveGenericRef (line 190)
15,96,52427.0,28,190,type (line 194)
1,41,17424.0,19,203,digging (line 203)
13,3,1245.0,0,225,WHITESPACE (line 225)
