fixation_id,experiment,fixation_order_number,duration,duration_clipped,source_file_line,source_file_col,token,line_text,match_type,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y
78fdadba-3e15-4ccc-82cf-82062acb6d8f,19,37,1769.0,1769.0,21,18,XelatexRunner, public class XelatexRunner extends LatexRunner {,matched,218.79999999999998,20,338.4,40,278.59999999999997,30.0
15a76d36-148c-4402-a87a-af356f494560,19,40,301.0,301.0,21,31,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
02a9421a-e67c-4b1c-ace1-bf5056f72d97,19,43,170.0,170.0,21,32,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
0380f9ec-aa76-488c-bf92-d7997db0800d,19,41,822.0,822.0,21,35,extends, public class XelatexRunner extends LatexRunner {,matched,347.59999999999997,20,412.0,40,379.79999999999995,30.0
cd1291f8-5ef0-438d-808d-dc0eafa594c9,19,42,151.0,151.0,21,40,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
cc7cb919-f941-4212-8018-4cf26d500ce2,19,44,87.0,87.0,21,40,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,237.2,20,338.4,40,287.79999999999995,30.0
042b9cbe-50a9-4846-90b4-a49163087c66,19,15,276.0,276.0,21,41,LatexRunner, public class XelatexRunner extends LatexRunner {,matched,421.2,20,522.4,40,471.79999999999995,30.0
8655ed25-7833-46f8-905c-ae50e026a1f2,19,47,343.0,343.0,24,20,WHITESPACE,     * Create a new ProgramRunner.,approx_whitespace,393.59999999999997,80,402.79999999999995,100,398.19999999999993,90.0
a0f0f7e0-bf86-4644-8294-d481bb7ab5fb,19,14,151.0,151.0,24,22,ProgramRunner.,     * Create a new ProgramRunner.,matched,274.0,80,402.79999999999995,100,338.4,90.0
8e438ca8-43fe-4fa7-ba30-6ae21277fbfb,19,48,240.0,240.0,26,12,XelatexRunner,    public XelatexRunner() {,matched,191.2,120,310.79999999999995,140,250.99999999999997,130.0
23773b15-d028-4e6e-9101-e1176710d4c9,19,49,507.0,507.0,26,24,XelatexRunner,    public XelatexRunner() {,matched,191.2,120,310.79999999999995,140,250.99999999999997,130.0
1484edbf-3f77-479b-8464-9d9b376b430c,19,4,120.0,120.0,27,13,super,        super();,matched,163.6,140,209.6,160,186.6,150.0
08d40d5a-9ad1-4a62-bdc5-b8e41bf53754,19,135,166.0,166.0,27,13,super,        super();,matched,163.6,140,209.6,160,186.6,150.0
320e5e6b-cd6a-4e2e-a92a-0966dcbd7934,19,20,333.0,333.0,27,14,(),        super();,matched,209.6,140,228.0,160,218.8,150.0
3f70e2ca-9fa0-481d-a925-0ce172219fd0,19,13,177.0,177.0,30,13,protected,    protected String getWindowsProgramName() {,matched,126.8,200,209.6,220,168.2,210.0
c943a304-ffe8-4b13-8742-0d7dc91eef56,19,38,708.0,708.0,30,13,protected,    protected String getWindowsProgramName() {,matched,126.8,200,209.6,220,168.2,210.0
bebc3288-100a-44a3-9c23-6a0701bce6df,19,2,2620.0,2620.0,30,18,String,    protected String getWindowsProgramName() {,matched,218.79999999999998,200,274.0,220,246.39999999999998,210.0
91796696-2176-4bd5-a2f4-59389fd6f1a1,19,9,359.0,359.0,30,18,String,    protected String getWindowsProgramName() {,matched,218.79999999999998,200,274.0,220,246.39999999999998,210.0
dd090977-fb35-4ead-92ec-f86a1d4321eb,19,68,142.0,142.0,30,21,WHITESPACE,    protected String getWindowsProgramName() {,approx_whitespace,503.99999999999994,200,513.2,220,508.6,210.0
1cf84fba-7dab-4aa7-ab63-fe2374cf8ad8,19,3,198.0,198.0,31,7,WHITESPACE,"        return ""xelatex.exe"";",approx_whitespace,347.59999999999997,220,356.79999999999995,240,352.19999999999993,230.0
6f1d9b1f-2fb5-4c1b-ae6e-130cce9a367a,19,19,224.0,224.0,31,11,return,"        return ""xelatex.exe"";",matched,163.6,220,218.79999999999998,240,191.2,230.0
f90d36b3-7e53-4233-bf09-eda723371ae9,19,39,4038.0,4038.0,31,11,return,"        return ""xelatex.exe"";",matched,163.6,220,218.79999999999998,240,191.2,230.0
094ce4d2-d414-4dc1-acfe-74abf8d4de6d,19,84,151.0,151.0,31,24,.,"        return ""xelatex.exe"";",matched,301.6,220,310.79999999999995,240,306.2,230.0
72733482-23e4-4db2-b2ff-5083f8a1d4de,19,96,253.0,253.0,34,11,protected,    protected String getUnixProgramName() {,matched,126.8,280,209.6,300,168.2,290.0
7f9dc6ee-c908-49bf-8b32-1b759abd90ae,19,97,318.0,318.0,34,19,String,    protected String getUnixProgramName() {,matched,218.79999999999998,280,274.0,300,246.39999999999998,290.0
605f3186-b3a1-437e-9116-13ab80f440d5,19,45,109.0,109.0,34,20,String,    protected String getUnixProgramName() {,matched,218.79999999999998,280,274.0,300,246.39999999999998,290.0
14852840-59ab-4c20-9370-d1c1afcd9ebf,19,50,198.0,198.0,34,23,getUnixProgramName,    protected String getUnixProgramName() {,matched,283.2,280,448.79999999999995,300,366.0,290.0
699061a5-de8e-4ad3-880b-feea841cb731,19,86,490.0,490.0,34,34,getUnixProgramName,    protected String getUnixProgramName() {,matched,283.2,280,448.79999999999995,300,366.0,290.0
