experiment,n_fixations,dwell_time_ms,regressions,top_line,top_token
25,819,338549.0,239,445,!fileLogDir (line 449)
23,446,220642.0,130,470,logFileIds; (line 466)
19,271,192153.0,108,463,Collections (line 447)
10,380,176066.0,101,470,logFilePrefix (line 470)
24,321,165185.0,81,465,fileName (line 462)
12,373,152816.0,123,458,Collections (line 459)
27,299,148968.0,85,463,getOrderedLogFileIds (line 441)
20,272,140923.0,83,452,logFileNames (line 453)
5,289,135690.0,76,470,getLogFilePath (line 469)
8,221,130556.0,55,455,WHITESPACE (line 455)
9,256,126972.0,64,463,logFileNames (line 453)
11,214,114470.0,62,461,ArrayList (line 461)
26,235,113412.0,53,442,logFileNames (line 453)
16,159,110555.0,49,454,getOrderedLogFileIds (line 441)
22,137,68429.0,36,465,compareTo (line 465)
18,135,63112.0,35,469,getLogFilePath (line 469)
2,132,56153.0,52,459,emptyList (line 459)
3,132,56153.0,52,459,emptyList (line 459)
6,136,55522.0,34,455,WHITESPACE (line 455)
14,99,51602.0,25,442,logFileIds (line 463)
4,141,49817.0,41,442,fileLogDir (line 442)
17,69,43846.0,19,450,WHITESPACE (line 450)
13,115,31990.0,55,446,. (line 446)
15,54,24207.0,11,441,getOrderedLogFileIds (line 441)
1,30,15652.0,14,458,logDir (line 458)
7,13,4260.0,2,444,isDirectory (line 449)
